X,Y,ID,CD_GEOCODI,NM_BAIRRO,NM_MUNICIP,SC_IVS e12,icon_url
-52.0315816783969,-23.1904239092951,"14200","411410405000024",,MANDAGUAÇU,0.318944460425221,
-52.0061264137986,-23.2165043998096,"14201","411410405000025",,MANDAGUAÇU,0.320762244169076,
-52.0067648188514,-23.2804952594006,"14202","411410405000026",,MANDAGUAÇU,0.426713939735670,
-52.0210806552618,-23.2995348290355,"14203","411410405000027",,MANDAGUAÇU,0.369747623570591,
-52.0652913240832,-23.3230038504675,"14204","411410405000028",,MANDAGUAÇU,0.439170535938612,
-52.0152900804616,-23.2613424569754,"14207","411410405000031",,MANDAGUAÇU,0.362297341249954,
-51.6813625987791,-23.5173805705741,"14208","411420305000001",,MANDAGUARI,0.488420820936423,
-51.6792013951866,-23.5210571176767,"14209","411420305000002",,MANDAGUARI,0.452457901915962,
-51.6817982047828,-23.5232704392907,"14210","411420305000003",,MANDAGUARI,0.379474139912848,
-51.6842670242495,-23.5237061942569,"14211","411420305000004",,MANDAGUARI,0.296514218506836,
-51.6845100703372,-23.5194281388565,"14212","411420305000005",,MANDAGUARI,0.343791827058703,
-51.6820078592616,-23.5101572079132,"14214","411420305000007",,MANDAGUARI,0.433779096884848,
-51.6891720538141,-23.5229471215209,"14218","411420305000011",,MANDAGUARI,0.474916812399927,
-51.6930468528823,-23.517635698593,"14219","411420305000012",,MANDAGUARI,0.500751509156857,
-51.6678781511252,-23.5259729013686,"14220","411420305000024",,MANDAGUARI,0.423963582936923,
-51.6715600424743,-23.5337199094826,"14223","411420305000027",,MANDAGUARI,0.423679527927305,
-51.6724231302726,-23.5380100606949,"14224","411420305000028",,MANDAGUARI,0.490916401165249,
-51.6984166467537,-23.5196256381011,"14225","411420305000029",,MANDAGUARI,0.452896871667112,
-51.699355643912,-23.5175368565048,"14226","411420305000030",,MANDAGUARI,0.402829480645511,
-51.6970446323118,-23.5216299750259,"14229","411420305000033",,MANDAGUARI,0.487008850182693,
-51.6620463306248,-23.5228389371733,"14231","411420305000035",,MANDAGUARI,0.357168618514334,
-51.7017655694623,-23.5306692539031,"14232","411420305000036",,MANDAGUARI,0.281907548028975,
-51.7340415861488,-23.4807613671498,"14233","411420305000037",,MANDAGUARI,0.449817769085470,
-51.7092742505728,-23.4319775777027,"14234","411420305000038",,MANDAGUARI,0.380368509161245,
-51.6799546048106,-23.4266346446842,"14235","411420305000039",,MANDAGUARI,0.331660433179331,
-51.6411074501561,-23.444913753375,"14236","411420305000040",,MANDAGUARI,0.217719699425756,
-51.7030501320435,-23.5428940166586,"14237","411420305000041",,MANDAGUARI,0.270621998747401,
-51.7107957566391,-23.5676580315702,"14238","411420305000042",,MANDAGUARI,0.322365699585904,
-51.790633491972,-23.5981763017789,"14239","411420305000043",,MANDAGUARI,0.334152368608482,
-51.7306011022544,-23.5331571027576,"14240","411420305000044",,MANDAGUARI,0.343891391509551,
-51.7490382352539,-23.4257253133967,"14241","411420305000045",,MANDAGUARI,0.361034294539369,
-51.7463101159096,-23.3658904186359,"14242","411420305000046",,MANDAGUARI,0.500000000000000,
-51.6645585441834,-23.4864367854966,"14243","411420305000047",,MANDAGUARI,0.318118858135523,
-51.6417020214499,-23.5114924693813,"14244","411420305000048",,MANDAGUARI,0.301427902359992,
-51.6444516495079,-23.5479674833947,"14245","411420305000049",,MANDAGUARI,0.441049103877291,
-51.6764475098739,-23.5221359946624,"14247","411420305000051",,MANDAGUARI,0.464952103015116,
